PCP_PC,PCP_PO,PCP_NP,PCP_CY,PCP_AR,PCP_BS,PCP_HB,PCP_HL,PCP_SC,PCP_SM,PCP_LR
0.12,0.218,0.508,0.03,0.102,0.12,0.496,0.207,0.03,0.504,0.496
0.126,0.262,0.428,0.037,0.036,0.126,0.445,0.208,0.056,0.547,0.453
0.136,0.179,0.466,0.043,0.086,0.136,0.478,0.244,0.037,0.46,0.54
0.116,0.178,0.473,0.048,0.068,0.116,0.452,0.212,0.062,0.459,0.541
0.137,0.143,0.588,0.059,0.076,0.137,0.541,0.21,0.042,0.518,0.482
0.142,0.302,0.427,0.06,0.069,0.142,0.509,0.216,0.069,0.496,0.504
0.144,0.21,0.441,0.038,0.128,0.144,0.443,0.214,0.016,0.409,0.591
0.121,0.179,0.545,0.055,0.063,0.121,0.524,0.205,0.037,0.536,0.464
0.198,0.191,0.478,0.063,0.034,0.198,0.516,0.291,0.088,0.594,0.406
0.08,0.222,0.554,0.056,0.102,0.08,0.521,0.197,0.038,0.577,0.423
0.148,0.161,0.56,0.064,0.03,0.148,0.574,0.235,0.044,0.574,0.426
0.16,0.182,0.514,0.033,0.072,0.16,0.519,0.204,0.039,0.486,0.514
0.128,0.17,0.521,0.038,0.093,0.128,0.476,0.198,0.028,0.531,0.469
0.154,0.19,0.478,0.07,0.112,0.154,0.467,0.287,0.027,0.516,0.484
0.157,0.165,0.489,0.055,0.052,0.157,0.411,0.275,0.015,0.611,0.389
0.093,0.208,0.588,0.061,0.032,0.093,0.581,0.183,0.05,0.53,0.47
0.153,0.153,0.515,0.029,0.095,0.153,0.5,0.208,0.022,0.496,0.504
0.111,0.175,0.557,0.047,0.057,0.111,0.536,0.199,0.028,0.55,0.45
0.118,0.31,0.395,0.048,0.133,0.118,0.439,0.225,0.033,0.461,0.539
0.141,0.203,0.512,0.068,0.106,0.141,0.504,0.255,0.043,0.463,0.537
0.112,0.195,0.508,0.023,0.036,0.112,0.459,0.185,0.033,0.576,0.424
0.117,0.163,0.545,0.038,0.051,0.117,0.542,0.176,0.031,0.616,0.384
0.137,0.212,0.486,0.024,0.09,0.137,0.491,0.203,0.038,0.476,0.524
0.068,0.247,0.575,0.055,0.068,0.068,0.562,0.164,0.041,0.589,0.411
0.132,0.191,0.515,0.051,0.096,0.132,0.449,0.243,0.022,0.485,0.515
0.139,0.2,0.482,0.052,0.106,0.139,0.467,0.236,0.058,0.455,0.545
0.15,0.175,0.464,0.062,0.099,0.15,0.457,0.242,0.022,0.49,0.51
0.15,0.139,0.572,0.081,0.058,0.15,0.491,0.26,0.052,0.572,0.428
0.101,0.217,0.543,0.054,0.062,0.101,0.558,0.178,0.039,0.543,0.457
0.12,0.213,0.466,0.033,0.149,0.12,0.481,0.222,0.027,0.463,0.537
0.14,0.188,0.543,0.066,0.075,0.14,0.537,0.224,0.024,0.514,0.486
0.165,0.133,0.524,0.045,0.073,0.165,0.481,0.243,0.023,0.474,0.526
0.095,0.272,0.449,0.034,0.111,0.095,0.482,0.202,0.023,0.54,0.46
0.099,0.198,0.589,0.031,0.048,0.099,0.53,0.153,0.037,0.603,0.397
0.171,0.19,0.475,0.032,0.089,0.171,0.424,0.241,0.025,0.475,0.525
0.128,0.189,0.539,0.045,0.065,0.128,0.496,0.202,0.05,0.499,0.501
0.147,0.248,0.461,0.051,0.113,0.147,0.457,0.265,0.03,0.556,0.444
0.141,0.189,0.515,0.088,0.115,0.141,0.507,0.278,0.022,0.432,0.568
0.142,0.185,0.521,0.042,0.07,0.142,0.476,0.194,0.024,0.476,0.524
0.157,0.184,0.395,0.032,0.097,0.157,0.389,0.259,0.038,0.389,0.611
0.148,0.148,0.561,0.082,0.102,0.148,0.541,0.245,0.02,0.505,0.495
0.129,0.192,0.52,0.029,0.108,0.129,0.436,0.206,0.019,0.544,0.456
0.139,0.167,0.565,0.055,0.075,0.139,0.552,0.199,0.032,0.545,0.455
0.135,0.191,0.514,0.063,0.056,0.135,0.511,0.228,0.04,0.534,0.466
0.134,0.26,0.468,0.069,0.097,0.134,0.461,0.233,0.035,0.498,0.502
0.19,0.21,0.48,0,0.09,0.19,0.38,0.2,0.01,0.43,0.57
0.134,0.197,0.506,0.045,0.056,0.134,0.513,0.216,0.045,0.465,0.535
0.113,0.151,0.587,0.056,0.051,0.113,0.537,0.182,0.019,0.602,0.398
0.2,0.221,0.476,0.048,0.062,0.2,0.421,0.283,0.041,0.428,0.572
0.15,0.168,0.54,0.056,0.1,0.15,0.526,0.228,0.032,0.44,0.56
0.163,0.252,0.383,0.028,0.041,0.163,0.411,0.239,0.04,0.427,0.573
0.148,0.162,0.515,0.017,0.096,0.148,0.472,0.197,0.031,0.437,0.563
0.155,0.294,0.433,0.059,0.101,0.155,0.487,0.286,0.084,0.563,0.437
0.172,0.15,0.505,0.047,0.072,0.172,0.483,0.248,0.041,0.492,0.508
0.138,0.224,0.471,0.062,0.09,0.138,0.524,0.233,0.076,0.486,0.514
0.133,0.206,0.533,0.079,0.079,0.133,0.545,0.218,0.03,0.418,0.582
0.122,0.217,0.53,0.017,0.061,0.122,0.496,0.2,0.052,0.513,0.487
0.135,0.27,0.422,0.046,0.127,0.135,0.494,0.236,0.059,0.464,0.536
0.165,0.232,0.428,0.057,0.068,0.165,0.462,0.258,0.065,0.477,0.523
0.119,0.226,0.446,0.035,0.142,0.119,0.475,0.217,0.032,0.443,0.557
0.129,0.214,0.503,0.057,0.126,0.129,0.484,0.211,0.022,0.484,0.516
0.143,0.135,0.505,0.034,0.096,0.143,0.48,0.227,0.021,0.42,0.58
0.15,0.15,0.527,0.054,0.08,0.15,0.511,0.233,0.045,0.473,0.527
0.134,0.268,0.449,0.059,0.127,0.134,0.485,0.226,0.047,0.489,0.511
0.161,0.192,0.453,0.045,0.099,0.161,0.471,0.252,0.063,0.41,0.59
0.124,0.142,0.597,0.047,0.077,0.124,0.531,0.193,0.023,0.52,0.48
0.099,0.317,0.465,0.05,0.149,0.099,0.475,0.208,0.059,0.673,0.327
0.14,0.216,0.483,0.062,0.097,0.14,0.51,0.257,0.039,0.493,0.507
0.106,0.201,0.551,0.055,0.088,0.106,0.551,0.201,0.04,0.522,0.478
0.101,0.162,0.531,0.031,0.083,0.101,0.522,0.162,0.053,0.522,0.478
0.102,0.208,0.571,0.068,0.106,0.102,0.559,0.183,0.019,0.469,0.531
0.131,0.235,0.444,0.032,0.086,0.131,0.468,0.219,0.056,0.471,0.529
0.142,0.229,0.424,0.039,0.089,0.142,0.433,0.263,0.013,0.521,0.479
0.09,0.253,0.524,0.096,0.054,0.09,0.53,0.217,0.114,0.62,0.38
0.166,0.232,0.506,0.05,0.071,0.166,0.481,0.228,0.033,0.502,0.498
0.128,0.163,0.575,0.073,0.067,0.128,0.508,0.22,0.026,0.572,0.428
0.158,0.145,0.526,0.039,0.099,0.158,0.48,0.237,0.059,0.447,0.553
0.173,0.186,0.468,0.043,0.103,0.173,0.458,0.246,0.053,0.478,0.522
0.141,0.215,0.461,0.035,0.098,0.141,0.469,0.207,0.051,0.438,0.562
0.068,0.196,0.611,0.035,0.071,0.068,0.514,0.141,0.01,0.678,0.322
0.148,0.244,0.379,0.039,0.057,0.148,0.429,0.244,0.02,0.505,0.495
0.151,0.158,0.533,0.072,0.066,0.151,0.533,0.25,0.033,0.533,0.467
0.126,0.198,0.529,0.036,0.081,0.126,0.514,0.195,0.045,0.583,0.417
0.117,0.163,0.563,0.055,0.095,0.117,0.545,0.2,0.046,0.529,0.471
0.181,0.072,0.525,0.018,0.036,0.181,0.507,0.249,0.041,0.475,0.525
0.156,0.125,0.588,0.074,0.088,0.156,0.452,0.253,0.009,0.494,0.506
0.119,0.235,0.476,0.133,0.071,0.119,0.456,0.31,0.048,0.595,0.405
0.121,0.303,0.449,0.105,0.074,0.121,0.523,0.266,0.043,0.61,0.39
0.116,0.221,0.471,0.068,0.068,0.116,0.506,0.241,0.027,0.547,0.453
0.144,0.235,0.456,0.041,0.099,0.144,0.453,0.229,0.017,0.514,0.486
0.185,0.272,0.37,0.033,0.076,0.185,0.337,0.239,0.065,0.554,0.446
0.119,0.235,0.489,0.052,0.119,0.119,0.48,0.208,0.034,0.517,0.483
0.124,0.187,0.485,0.025,0.112,0.124,0.494,0.212,0.037,0.502,0.498
0.075,0.203,0.519,0.03,0.083,0.075,0.526,0.18,0.053,0.466,0.534
0.15,0.23,0.46,0.037,0.053,0.15,0.481,0.214,0.048,0.487,0.513
0.119,0.145,0.591,0.075,0.066,0.119,0.544,0.214,0.031,0.572,0.428
0.119,0.244,0.502,0.045,0.058,0.119,0.534,0.209,0.042,0.566,0.434
0.13,0.179,0.486,0.036,0.036,0.13,0.483,0.207,0.025,0.53,0.47
0.133,0.238,0.471,0.069,0.068,0.133,0.476,0.245,0.07,0.535,0.465
0.114,0.214,0.521,0.048,0.063,0.114,0.478,0.226,0.023,0.635,0.365
0.13,0.173,0.518,0.041,0.064,0.13,0.51,0.205,0.042,0.515,0.485
0.079,0.205,0.447,0.021,0.121,0.079,0.479,0.195,0.053,0.568,0.432
0.123,0.109,0.632,0.053,0.06,0.123,0.517,0.189,0.013,0.543,0.457
0.218,0.188,0.368,0.079,0.031,0.218,0.337,0.316,0.018,0.528,0.472
0.061,0.281,0.564,0.091,0.07,0.061,0.591,0.193,0.035,0.652,0.348
0.142,0.169,0.518,0.057,0.096,0.142,0.498,0.251,0.034,0.514,0.486
0.204,0.225,0.375,0.046,0.071,0.204,0.404,0.271,0.071,0.446,0.554
0.102,0.207,0.605,0.067,0.097,0.102,0.642,0.196,0.07,0.57,0.43
0.092,0.238,0.511,0.025,0.085,0.092,0.521,0.174,0.039,0.521,0.479
0.237,0.172,0.387,0.075,0.086,0.237,0.419,0.366,0.022,0.441,0.559
0.127,0.175,0.545,0.078,0.123,0.127,0.516,0.237,0.062,0.451,0.549
0.13,0.182,0.551,0.024,0.032,0.13,0.563,0.178,0.028,0.559,0.441
0.204,0.185,0.454,0.028,0.093,0.204,0.481,0.278,0.056,0.5,0.5
0.173,0.225,0.425,0.048,0.071,0.173,0.418,0.256,0.031,0.468,0.532
0.16,0.19,0.525,0.055,0.095,0.16,0.525,0.25,0.045,0.465,0.535
0.089,0.242,0.552,0.068,0.082,0.089,0.54,0.176,0.021,0.54,0.46
0.104,0.149,0.607,0.06,0.085,0.104,0.567,0.189,0.02,0.567,0.433
0.139,0.236,0.431,0.047,0.081,0.139,0.456,0.221,0.044,0.484,0.516
0.152,0.199,0.509,0.023,0.099,0.152,0.509,0.205,0.041,0.509,0.491
0.124,0.197,0.545,0.062,0.034,0.124,0.5,0.197,0.028,0.612,0.388
0.128,0.202,0.5,0.023,0.073,0.128,0.518,0.211,0.064,0.482,0.518
0.107,0.288,0.468,0.087,0.089,0.107,0.552,0.234,0.046,0.58,0.42
0.154,0.187,0.517,0.042,0.073,0.154,0.514,0.242,0.006,0.532,0.468
0.136,0.13,0.586,0.046,0.058,0.136,0.548,0.191,0.038,0.574,0.426
0.128,0.205,0.503,0.05,0.066,0.128,0.503,0.222,0.048,0.494,0.506
0.119,0.218,0.492,0.058,0.085,0.119,0.519,0.229,0.029,0.479,0.521
0.109,0.252,0.454,0.032,0.101,0.109,0.444,0.192,0.029,0.546,0.454
0.106,0.17,0.617,0.021,0.17,0.106,0.617,0.128,0.064,0.362,0.638
0.122,0.189,0.552,0.035,0.09,0.122,0.485,0.18,0.041,0.503,0.497
0.128,0.2,0.5,0.033,0.089,0.128,0.489,0.183,0.033,0.478,0.522
0.114,0.193,0.561,0.079,0.035,0.114,0.605,0.237,0.026,0.623,0.377
0.131,0.262,0.445,0.037,0.091,0.131,0.479,0.213,0.034,0.476,0.524
0.143,0.232,0.482,0.054,0.101,0.143,0.512,0.232,0.054,0.44,0.56
0.133,0.192,0.476,0.043,0.074,0.133,0.493,0.214,0.031,0.49,0.51
0.115,0.207,0.524,0.034,0.111,0.115,0.51,0.183,0.043,0.505,0.495
0.128,0.184,0.515,0.062,0.104,0.128,0.523,0.246,0.066,0.533,0.467
0.117,0.24,0.481,0.065,0.058,0.117,0.539,0.214,0.065,0.552,0.448
0.137,0.246,0.478,0.049,0.09,0.137,0.478,0.199,0.033,0.516,0.484
0.11,0.226,0.515,0.042,0.065,0.11,0.537,0.2,0.069,0.51,0.49
0.118,0.269,0.43,0.033,0.111,0.118,0.436,0.213,0.039,0.489,0.511
0.059,0.259,0.556,0.039,0.088,0.059,0.493,0.127,0.01,0.659,0.341
0.11,0.183,0.555,0.076,0.085,0.11,0.555,0.237,0.066,0.568,0.432
0.159,0.247,0.401,0.033,0.073,0.159,0.43,0.249,0.05,0.517,0.483
0.138,0.189,0.499,0.03,0.056,0.138,0.466,0.219,0.044,0.587,0.413
0.145,0.164,0.514,0.05,0.055,0.145,0.505,0.239,0.038,0.488,0.512
0.159,0.197,0.481,0.032,0.086,0.159,0.481,0.228,0.042,0.448,0.552
0.139,0.233,0.426,0.035,0.12,0.139,0.448,0.252,0.019,0.394,0.606
0.136,0.24,0.419,0.026,0.115,0.136,0.46,0.239,0.023,0.404,0.596
0.088,0.186,0.593,0.088,0.088,0.088,0.566,0.204,0.027,0.602,0.398
0.174,0.265,0.4,0.018,0.099,0.174,0.436,0.242,0.006,0.489,0.511
0.167,0.149,0.518,0.054,0.09,0.167,0.486,0.257,0.041,0.401,0.599
0.092,0.265,0.485,0.02,0.071,0.092,0.515,0.204,0.031,0.602,0.398
0.114,0.259,0.519,0.09,0.062,0.114,0.562,0.238,0.083,0.58,0.42
0.224,0.385,0.258,0.017,0.024,0.224,0.172,0.256,0.002,0.577,0.423
0.141,0.208,0.512,0.044,0.081,0.141,0.525,0.216,0.056,0.493,0.507
0.127,0.199,0.511,0.047,0.077,0.127,0.511,0.223,0.04,0.519,0.481
0.18,0.126,0.527,0.027,0.054,0.18,0.464,0.234,0.018,0.527,0.473
0.12,0.255,0.473,0.022,0.087,0.12,0.462,0.174,0.038,0.473,0.527
0.13,0.168,0.548,0.064,0.09,0.13,0.504,0.218,0.018,0.596,0.404
0.108,0.211,0.542,0.024,0.078,0.108,0.542,0.175,0.06,0.542,0.458
0.138,0.201,0.511,0.053,0.066,0.138,0.52,0.219,0.041,0.567,0.433
0.142,0.129,0.568,0.058,0.077,0.142,0.503,0.245,0.019,0.535,0.465
0.149,0.209,0.465,0.063,0.089,0.149,0.494,0.25,0.035,0.44,0.56
0.183,0.27,0.409,0.04,0.079,0.183,0.438,0.262,0.024,0.502,0.498
0.102,0.165,0.5,0.028,0.108,0.102,0.483,0.153,0.028,0.477,0.523
0.117,0.175,0.529,0.051,0.074,0.117,0.521,0.206,0.027,0.502,0.498
0.109,0.209,0.55,0.059,0.077,0.109,0.514,0.191,0.027,0.459,0.541
0.091,0.162,0.566,0.051,0.071,0.091,0.525,0.222,0.02,0.535,0.465
0.144,0.143,0.552,0.059,0.076,0.144,0.488,0.208,0.012,0.464,0.536
0.126,0.15,0.567,0.062,0.082,0.126,0.537,0.2,0.027,0.532,0.468
0.135,0.169,0.536,0.047,0.079,0.135,0.512,0.222,0.04,0.536,0.464
0.081,0.236,0.54,0.077,0.097,0.081,0.549,0.209,0.019,0.625,0.375
0.077,0.255,0.504,0.068,0.104,0.077,0.493,0.186,0.028,0.637,0.363
0.15,0.232,0.465,0.08,0.064,0.15,0.458,0.265,0.028,0.547,0.453
0.049,0.24,0.487,0.064,0.077,0.049,0.549,0.211,0.041,0.549,0.451
0.127,0.155,0.558,0.047,0.088,0.127,0.536,0.207,0.058,0.533,0.467
0.143,0.224,0.449,0.026,0.133,0.143,0.469,0.214,0.061,0.52,0.48
0.149,0.192,0.483,0.05,0.099,0.149,0.486,0.251,0.056,0.461,0.539
0.146,0.212,0.483,0.06,0.09,0.146,0.503,0.26,0.039,0.497,0.503
0.144,0.153,0.522,0.054,0.098,0.144,0.494,0.241,0.038,0.474,0.526
0.142,0.203,0.468,0.062,0.099,0.142,0.44,0.25,0.022,0.513,0.487
0.114,0.221,0.529,0.014,0.1,0.114,0.479,0.157,0.086,0.586,0.414
0.151,0.248,0.419,0.056,0.097,0.151,0.412,0.24,0.036,0.494,0.506
0.164,0.184,0.5,0.043,0.103,0.164,0.477,0.239,0.049,0.5,0.5
0.149,0.258,0.441,0.055,0.103,0.149,0.471,0.249,0.064,0.495,0.505
0.14,0.211,0.474,0.066,0.127,0.14,0.5,0.254,0.057,0.504,0.496
0.156,0.192,0.43,0.019,0.093,0.156,0.456,0.235,0.035,0.417,0.583
0.142,0.207,0.475,0.057,0.103,0.142,0.477,0.237,0.052,0.506,0.494
0.147,0.248,0.44,0.051,0.118,0.147,0.461,0.237,0.048,0.454,0.546
0.157,0.236,0.472,0.051,0.055,0.157,0.508,0.217,0.028,0.496,0.504
0.131,0.193,0.517,0.04,0.06,0.131,0.485,0.217,0.05,0.507,0.493
0.116,0.154,0.622,0.05,0.058,0.116,0.622,0.181,0.031,0.602,0.398
0.15,0.167,0.473,0.04,0.135,0.15,0.467,0.251,0.032,0.415,0.585
0.092,0.19,0.505,0.031,0.097,0.092,0.488,0.197,0.043,0.614,0.386
0.106,0.188,0.532,0.05,0.032,0.106,0.55,0.202,0.06,0.537,0.463
0.171,0.206,0.453,0.053,0.088,0.171,0.441,0.271,0.006,0.429,0.571
0.124,0.172,0.539,0.045,0.075,0.124,0.504,0.21,0.043,0.542,0.458
0.109,0.198,0.562,0.104,0.045,0.109,0.512,0.238,0.025,0.569,0.431
0.127,0.227,0.458,0.076,0.054,0.127,0.472,0.241,0.04,0.498,0.502
0.13,0.198,0.45,0.035,0.089,0.13,0.438,0.248,0.027,0.492,0.508
0.098,0.26,0.445,0.075,0.092,0.098,0.486,0.191,0.069,0.595,0.405
0.144,0.258,0.45,0.026,0.077,0.144,0.502,0.196,0.066,0.458,0.542
0.08,0.232,0.533,0.069,0.083,0.08,0.504,0.217,0.025,0.587,0.413
0.102,0.172,0.59,0.016,0.07,0.102,0.545,0.168,0.033,0.512,0.488
0.143,0.167,0.489,0.049,0.03,0.143,0.498,0.219,0.027,0.483,0.517
0.134,0.25,0.463,0.042,0.116,0.134,0.463,0.208,0.037,0.542,0.458
0.103,0.274,0.465,0.038,0.13,0.103,0.508,0.207,0.049,0.522,0.478
0.16,0.182,0.465,0.025,0.092,0.16,0.449,0.237,0.037,0.446,0.554
0.121,0.207,0.538,0.051,0.075,0.121,0.513,0.2,0.046,0.566,0.434
0.12,0.222,0.5,0.037,0.079,0.12,0.505,0.218,0.042,0.551,0.449
0.149,0.252,0.453,0.079,0.089,0.149,0.487,0.266,0.077,0.539,0.461
0.134,0.213,0.498,0.061,0.104,0.134,0.47,0.244,0.046,0.498,0.502
0.13,0.219,0.489,0.039,0.076,0.13,0.509,0.216,0.067,0.541,0.459
0.13,0.222,0.481,0.054,0.076,0.13,0.471,0.224,0.03,0.539,0.461
0.154,0.174,0.483,0.034,0.04,0.154,0.497,0.248,0.054,0.477,0.523
0.133,0.168,0.519,0.063,0.088,0.133,0.53,0.225,0.06,0.481,0.519
0.15,0.213,0.469,0.029,0.097,0.15,0.466,0.215,0.053,0.469,0.531
0.147,0.166,0.531,0.053,0.055,0.147,0.52,0.228,0.028,0.469,0.531
0.112,0.226,0.428,0.035,0.125,0.112,0.447,0.263,0.023,0.491,0.509
0.158,0.162,0.475,0.029,0.067,0.158,0.433,0.208,0.046,0.425,0.575
0.183,0.145,0.443,0.038,0.069,0.183,0.458,0.252,0.053,0.45,0.55
0.143,0.26,0.42,0.048,0.061,0.143,0.468,0.225,0.017,0.563,0.437
0.127,0.157,0.53,0.05,0.092,0.127,0.506,0.222,0.056,0.464,0.536
0.053,0.335,0.478,0.048,0.093,0.053,0.505,0.175,0.041,0.651,0.349
0.113,0.241,0.536,0.069,0.083,0.113,0.56,0.211,0.052,0.57,0.43
0.13,0.202,0.489,0.051,0.082,0.13,0.479,0.215,0.045,0.495,0.505
0.107,0.178,0.58,0.031,0.068,0.107,0.56,0.166,0.031,0.513,0.487
0.144,0.173,0.491,0.052,0.079,0.144,0.465,0.239,0.042,0.499,0.501
0.107,0.251,0.432,0.036,0.114,0.107,0.426,0.238,0.023,0.602,0.398
0.12,0.231,0.497,0.047,0.155,0.12,0.495,0.208,0.027,0.519,0.481
0.165,0.19,0.487,0.051,0.098,0.165,0.491,0.244,0.032,0.427,0.573
0.158,0.162,0.518,0.096,0.085,0.158,0.511,0.283,0.044,0.474,0.526
0.129,0.155,0.564,0.041,0.044,0.129,0.509,0.193,0.038,0.526,0.474
0.159,0.143,0.525,0.061,0.105,0.159,0.516,0.239,0.035,0.455,0.545
0.137,0.173,0.516,0.036,0.054,0.137,0.525,0.224,0.03,0.579,0.421
0.129,0.191,0.547,0.04,0.043,0.129,0.54,0.201,0.05,0.579,0.421
0.133,0.218,0.394,0.024,0.064,0.133,0.436,0.2,0.033,0.47,0.53
0.107,0.139,0.604,0.037,0.07,0.107,0.572,0.155,0.048,0.583,0.417
0.079,0.302,0.486,0.042,0.121,0.079,0.48,0.16,0.042,0.528,0.472
0.148,0.108,0.544,0.052,0.064,0.148,0.494,0.253,0.038,0.477,0.523
0.129,0.208,0.5,0.048,0.096,0.129,0.507,0.22,0.045,0.488,0.512
0.173,0.231,0.402,0.029,0.092,0.173,0.418,0.265,0.036,0.47,0.53
0.156,0.126,0.545,0.07,0.073,0.156,0.512,0.246,0.023,0.458,0.542
0.166,0.171,0.457,0.046,0.098,0.166,0.459,0.261,0.016,0.421,0.579
0.322,0.112,0.342,0.013,0.046,0.322,0.342,0.355,0.053,0.428,0.572
0.146,0.179,0.489,0.036,0.1,0.146,0.471,0.24,0.003,0.529,0.471
0.134,0.206,0.507,0.041,0.091,0.134,0.519,0.221,0.028,0.502,0.498
0.114,0.185,0.562,0.055,0.039,0.114,0.534,0.205,0.046,0.553,0.447
0.131,0.18,0.583,0.044,0.117,0.131,0.578,0.204,0.053,0.51,0.49
0.172,0.162,0.475,0.048,0.083,0.172,0.49,0.237,0.046,0.417,0.583
0.167,0.215,0.451,0.072,0.065,0.167,0.481,0.266,0.031,0.468,0.532
0.128,0.2,0.466,0.039,0.078,0.128,0.487,0.254,0.03,0.409,0.591
0.13,0.176,0.573,0.053,0.076,0.13,0.603,0.198,0.069,0.573,0.427
0.154,0.228,0.462,0.066,0.06,0.154,0.468,0.268,0.052,0.482,0.518
0.123,0.128,0.564,0.067,0.106,0.123,0.508,0.24,0.039,0.508,0.492
0.134,0.203,0.5,0.034,0.108,0.134,0.496,0.198,0.03,0.504,0.496
0.176,0.124,0.386,0.013,0.065,0.176,0.314,0.261,0.039,0.464,0.536
0.1,0.224,0.506,0.07,0.067,0.1,0.509,0.219,0.015,0.584,0.416
0.169,0.176,0.542,0.042,0.077,0.169,0.535,0.232,0.014,0.556,0.444
0.165,0.239,0.477,0.068,0.085,0.165,0.504,0.258,0.05,0.484,0.516
0.117,0.18,0.537,0.044,0.059,0.117,0.517,0.195,0.039,0.551,0.449
0.125,0.112,0.612,0.059,0.059,0.125,0.566,0.237,0.059,0.599,0.401
0.109,0.191,0.579,0.059,0.074,0.109,0.574,0.182,0.062,0.541,0.459
0.136,0.204,0.5,0.056,0.093,0.136,0.519,0.222,0.043,0.5,0.5
0.134,0.194,0.466,0.032,0.121,0.134,0.474,0.227,0.04,0.474,0.526
0.13,0.248,0.433,0.055,0.079,0.13,0.465,0.228,0.039,0.45,0.55
0.121,0.247,0.47,0.04,0.087,0.121,0.479,0.217,0.055,0.557,0.443
0.132,0.118,0.603,0.044,0.022,0.132,0.544,0.184,0.022,0.551,0.449
0.183,0.163,0.49,0.052,0.065,0.183,0.516,0.275,0.078,0.477,0.523
0.093,0.193,0.622,0.041,0.152,0.093,0.619,0.144,0.019,0.489,0.511
0.158,0.139,0.474,0.042,0.09,0.158,0.455,0.268,0.01,0.455,0.545
0.133,0.205,0.515,0.066,0.097,0.133,0.501,0.241,0.028,0.465,0.535
0.136,0.218,0.473,0.032,0.095,0.136,0.455,0.245,0.014,0.5,0.5
0.128,0.257,0.422,0.044,0.08,0.128,0.471,0.239,0.042,0.502,0.498
0.145,0.196,0.478,0.054,0.105,0.145,0.485,0.248,0.039,0.517,0.483
0.138,0.201,0.476,0.05,0.088,0.138,0.48,0.226,0.044,0.47,0.53
0.121,0.159,0.557,0.031,0.043,0.121,0.538,0.182,0.045,0.552,0.448
0.078,0.24,0.489,0.04,0.107,0.078,0.5,0.176,0.022,0.565,0.435
0.11,0.234,0.497,0.069,0.097,0.11,0.503,0.248,0.048,0.538,0.462
0.118,0.17,0.539,0.046,0.059,0.118,0.5,0.192,0.046,0.526,0.474
0.103,0.194,0.559,0.059,0.076,0.103,0.539,0.213,0.032,0.645,0.355
0.124,0.112,0.588,0.026,0.064,0.124,0.528,0.191,0.049,0.528,0.472
0.148,0.213,0.457,0.035,0.161,0.148,0.457,0.217,0.026,0.387,0.613
0.086,0.276,0.492,0.06,0.134,0.086,0.495,0.196,0.02,0.577,0.423
0.153,0.254,0.426,0.048,0.067,0.153,0.493,0.258,0.019,0.56,0.44
0.138,0.201,0.513,0.022,0.094,0.138,0.5,0.165,0.031,0.496,0.504
0.136,0.181,0.505,0.05,0.071,0.136,0.499,0.217,0.046,0.506,0.494
0.106,0.217,0.511,0.021,0.081,0.106,0.523,0.17,0.051,0.532,0.468
0.136,0.228,0.496,0.06,0.1,0.136,0.515,0.222,0.043,0.515,0.485
0.089,0.293,0.465,0.038,0.121,0.089,0.503,0.166,0.045,0.599,0.401
0.12,0.229,0.46,0.043,0.109,0.12,0.491,0.211,0.06,0.509,0.491
0.114,0.18,0.571,0.037,0.053,0.114,0.514,0.171,0.016,0.567,0.433
0.053,0.233,0.626,0.069,0.119,0.053,0.695,0.164,0.05,0.453,0.547
0.175,0.135,0.516,0.056,0.079,0.175,0.484,0.254,0.079,0.484,0.516
0.121,0.201,0.505,0.033,0.092,0.121,0.498,0.223,0.048,0.443,0.557
0.142,0.183,0.485,0.061,0.087,0.142,0.494,0.253,0.023,0.465,0.535
0.145,0.203,0.481,0.066,0.12,0.145,0.469,0.266,0.025,0.494,0.506
0.17,0.234,0.41,0.046,0.089,0.17,0.496,0.239,0.066,0.471,0.529
0.143,0.153,0.504,0.035,0.049,0.143,0.487,0.214,0.029,0.498,0.502
0.111,0.215,0.557,0.043,0.055,0.111,0.542,0.191,0.062,0.554,0.446
0.127,0.186,0.536,0.045,0.065,0.127,0.519,0.206,0.065,0.522,0.478
0.127,0.152,0.608,0.07,0.057,0.127,0.544,0.209,0.006,0.557,0.443
0.126,0.201,0.55,0.042,0.054,0.126,0.553,0.192,0.03,0.571,0.429
0.153,0.227,0.472,0.028,0.088,0.153,0.495,0.208,0.051,0.463,0.537
0.197,0.289,0.331,0.072,0.049,0.197,0.352,0.306,0.026,0.523,0.477
0.227,0.25,0.383,0.047,0.039,0.227,0.438,0.312,0.047,0.445,0.555
0.161,0.198,0.447,0.042,0.141,0.161,0.443,0.27,0.036,0.45,0.55
0.114,0.211,0.588,0.026,0.132,0.114,0.614,0.167,0.026,0.43,0.57
0.127,0.165,0.537,0.037,0.068,0.127,0.509,0.193,0.037,0.525,0.475
0.122,0.195,0.463,0.037,0.122,0.122,0.476,0.256,0.024,0.506,0.494
0.076,0.228,0.584,0.059,0.102,0.076,0.587,0.152,0.026,0.538,0.462
0.152,0.183,0.49,0.049,0.099,0.152,0.491,0.235,0.038,0.462,0.538
0.124,0.231,0.495,0.045,0.095,0.124,0.513,0.21,0.06,0.472,0.528
0.077,0.2,0.446,0.046,0.077,0.077,0.508,0.123,0.123,0.508,0.492
0.108,0.178,0.589,0.041,0.062,0.108,0.548,0.17,0.033,0.548,0.452
0.155,0.179,0.492,0.053,0.088,0.155,0.494,0.248,0.054,0.479,0.521
